statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;42.19;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;3.1;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.29;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;38.19;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.24;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;5.1;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;2.05;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;38.96;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;40.92;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.8;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.96;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.13;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;42.48;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;3.2;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT08;August;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.35;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.11;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;42.35;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;2.9;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.24;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;40.87;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;42.17;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;3.1;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT11;November;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.3;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;39.24;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.12;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;4.6;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.88;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;38.97;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.95;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;4.8;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT05;May;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.98;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;39.2;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.07;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.6;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.87;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;39.24;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.13;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;4.6;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT09;September;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.89;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.64;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;42.07;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;3.4;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.43;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.03;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;42.29;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;3.0;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.26;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;38.9;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;40.88;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;4.8;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.98;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.13;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.97;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;4.4;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT02;February;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.84;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;38.75;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.74;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;4.9;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT12;December;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.99;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;39.37;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.14;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.3;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT07;July;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.77;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;39.3;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.13;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;4.5;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2015;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.83;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;37.77;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.13;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;5.9;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2012;MONAT;Months;MONAT01;January;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;2.36;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.49;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.85;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;3.3;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2018;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.36;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;41.13;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;42.34;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;2.9;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2019;MONAT;Months;MONAT06;June;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;1.21;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;39.98;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.63;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;4.0;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2016;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.65;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;39.18;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;41.08;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.6;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.9;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;38.43;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.54;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;5.2;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;2.11;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;38.9;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;40.89;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;4.9;percent;ERW089;Unemployment rate;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2013;MONAT;Months;MONAT10;October;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;BV4TB;BV4.1 trend;1.99;mn;ERW003;Unemployed persons;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;40.0;mn;ERW002;Persons in employment;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;41.62;mn;ERW001;Economically active population;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;3.9;percent;ERW089;Unemployment rate;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2017;MONAT;Months;MONAT04;April;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;WERTORG;Unadjusted values;1.62;mn;ERW003;Unemployed persons;r
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;38.95;mn;ERW002;Persons in employment;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;40.91;mn;ERW001;Economically active population;p
13231;Unemployment statistics based on the ILO concept;JAHR;Year;2014;MONAT;Months;MONAT03;March;DINSG;Germany;DG;Germany;WERT06;Original and adjusted data;X13JDTB;X13 JDemetra+  trend;4.8;percent;ERW089;Unemployment rate;p
